time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	6.95326e-310	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.45531	0.247508	-0.00955198	-6.50521e-18	-8.67362e-19	lidar	0.00612591	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.46763	0.24657	-0.0075226	3.67766e-05	5.56643e-07	radar	0.124421	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46359	0.248789	-0.0106962	-7.66899e-05	-1.28025e-06	lidar	0.00572229	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.35662	0.249227	-0.920793	0.00039804	3.60459e-05	radar	19.3538	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.30314	0.249189	-0.942395	0.000325083	3.4044e-05	lidar	0.248859	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.09369	0.233123	-1.41262	0.197543	0.00864262	radar	28.1125	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.00396	0.202963	-1.4664	0.309252	0.0128951	lidar	1.69227	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.8097	0.350979	-1.83927	-1.18448	-0.0824772	radar	16.0605	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.69915	0.287248	-1.91569	-0.497569	-0.0424665	lidar	3.15863	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.56852	0.227442	-1.97246	-0.0585772	-0.00224344	radar	1.03133	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.43729	0.159067	-1.94193	0.123058	0.00444506	lidar	1.62516	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.28223	0.179819	-2.28806	0.0187685	-0.0412932	radar	6.46216	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.13767	0.0839952	-2.29415	0.184016	-0.00793992	lidar	1.80581	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.03013	-0.01759	-2.14931	0.326303	0.0642243	radar	3.37756	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.90826	-0.132426	-2.17869	0.440594	0.112191	lidar	1.32707	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.79798	-0.202527	-2.23313	0.466407	0.100327	radar	0.947546	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.69076	-0.319538	-2.28563	0.553086	0.151574	lidar	1.45379	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.64669	-0.481198	-2.14878	0.779993	0.505034	radar	7.03297	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.57065	-0.58352	-2.17704	0.833882	0.528459	lidar	0.285369	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.53104	-0.763816	-2.17529	1.06983	0.898685	radar	4.92036	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.47457	-0.914996	-2.24312	1.15926	0.930308	lidar	1.13396	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.3823	-0.987492	-2.21864	1.04531	0.596262	radar	4.49603	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.3109	-1.12863	-2.29124	1.09183	0.596767	lidar	1.01446	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.39859	-1.38275	-2.37862	1.54824	1.35315	radar	34.6832	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.39309	-1.54456	-2.44707	1.63106	1.35286	lidar	0.764825	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.34023	-1.61168	-2.23871	1.52443	1.03607	radar	8.84668	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.31763	-1.76974	-2.34098	1.56721	1.00826	lidar	2.1198	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.36739	-1.95262	-2.54374	1.73771	1.20391	radar	7.83315	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.37974	-2.11017	-2.61548	1.78771	1.18329	lidar	0.986167	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.36956	-2.23886	-2.50982	1.77736	1.06028	radar	3.88438	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.38515	-2.41172	-2.58945	1.81672	1.03179	lidar	1.19716	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.43146	-2.57787	-2.68735	1.88644	1.05362	radar	1.05744	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.46592	-2.74612	-2.7437	1.92579	1.03022	lidar	0.610615	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.47818	-2.86609	-2.62755	1.92997	0.959566	radar	3.12611	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.50245	-3.02729	-2.69575	1.94846	0.92596	lidar	1.11255	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.55773	-3.18688	-2.76212	1.99404	0.923163	radar	0.61226	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
