time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.95326e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.700536	0.579129	6.1625	7.20106e-18	7.34159e-18	radar	105.39	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.06401	0.527622	6.22838	-0.378818	-0.00487275	lidar	1.65278	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23163	0.532394	6.19227	-0.131272	0.00189777	radar	1.41781	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.58182	0.532204	6.1929	-0.082784	0.00681168	lidar	0.905643	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82397	0.546872	5.71453	-0.0345745	-0.0252143	radar	2.05577	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13301	0.561676	5.71522	-0.0154975	-0.0103545	lidar	0.634417	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.35111	0.619078	5.40155	0.0461217	0.0312505	radar	4.18748	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.62826	0.638735	5.40694	0.052667	0.0400892	lidar	0.0840731	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89288	0.646923	5.36826	0.0473336	0.0162818	radar	0.128698	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.13071	0.654755	5.33282	0.0494077	0.0206743	lidar	0.795925	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.41336	0.580863	5.35254	-0.0359167	-0.194277	radar	2.43012	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72051	0.501854	5.42122	-0.115126	-0.361363	lidar	3.82673	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.99969	0.550501	5.45005	-0.0558545	-0.177531	radar	2.27558	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27678	0.546455	5.45487	-0.05458	-0.155258	lidar	0.119695	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53496	0.578593	5.37327	-0.0255819	-0.0825746	radar	1.31099	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72361	0.67964	5.23688	0.0608256	0.0939069	lidar	10.6636	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97538	0.67928	5.14528	0.0516134	0.0679234	radar	1.89426	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.2786	0.674186	5.21385	0.0386067	0.0389877	lidar	3.12212	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53793	0.682069	5.26436	0.0401422	0.0388371	radar	1.59167	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83517	0.694341	5.3145	0.0412567	0.0373768	lidar	1.85182	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.0775	0.627221	5.20199	-0.00718096	-0.0408152	radar	4.11925	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33312	0.731122	5.19372	0.0561131	0.0558751	lidar	3.13526	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58292	0.762901	5.14588	0.068939	0.0700559	radar	0.407073	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83122	0.760102	5.13407	0.0607757	0.0539858	lidar	0.261192	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07296	0.746329	5.01653	0.0467516	0.0310154	radar	2.75838	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.29135	0.824724	4.97237	0.0856015	0.0799219	lidar	2.44283	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58647	0.837975	5.13863	0.0834637	0.0720039	radar	4.89593	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83851	0.815858	5.1302	0.0644621	0.0436778	lidar	0.658922	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08705	0.834582	5.0441	0.0674909	0.0442243	radar	2.29388	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32453	0.849568	5.02355	0.0691167	0.0435871	lidar	0.312046	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59562	0.936097	5.17271	0.104883	0.0847956	radar	6.68938	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83469	0.991933	5.14911	0.123504	0.102149	lidar	0.631869	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12547	1.03114	5.21715	0.130265	0.103817	radar	6.80981	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36422	1.06262	5.18791	0.134938	0.103357	lidar	0.62612	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64454	1.13471	5.2515	0.155909	0.1219	radar	4.39717	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92088	1.2586	5.29186	0.199058	0.16561	lidar	3.06807	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1678	1.34607	5.18787	0.225067	0.188094	radar	4.92039	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3925	1.42567	5.15241	0.245555	0.201513	lidar	1.16803	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6226	1.50645	5.01964	0.266906	0.217185	radar	3.76687	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8462	1.53876	4.98219	0.263368	0.200439	lidar	1.14192	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1132	1.59064	5.0549	0.263991	0.188275	radar	2.08232	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3934	1.63869	5.10145	0.261731	0.174092	lidar	2.02905	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6237	1.69465	5.03921	0.267579	0.171474	radar	0.761778	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8529	1.75929	5.01891	0.276059	0.171473	lidar	0.297222	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1104	1.84929	5.11199	0.290993	0.177707	radar	1.50093	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3534	1.8799	5.09132	0.280477	0.154788	lidar	0.643836	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6103	1.94227	5.16073	0.281697	0.145842	radar	0.879617	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8113	2.07408	5.1211	0.320188	0.182902	lidar	3.29865	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0802	2.18312	5.24901	0.336551	0.189139	radar	3.19325	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2851	2.32276	5.21474	0.373654	0.221927	lidar	2.61543	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4626	2.46221	5.03881	0.415267	0.262484	radar	11.1275	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7129	2.5798	5.07617	0.432111	0.266684	lidar	0.905957	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9325	2.69075	5.04601	0.448981	0.271759	radar	0.202782	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1618	2.84552	5.0784	0.480993	0.293163	lidar	0.714513	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4129	2.95806	5.18125	0.48527	0.277073	radar	1.3826	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6188	3.03095	5.11607	0.481556	0.256915	lidar	2.20249	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8511	3.1862	5.2001	0.505998	0.267933	radar	3.69001	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0609	3.37903	5.22807	0.549371	0.302755	lidar	1.17478	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2717	3.54417	5.1866	0.580541	0.324675	radar	2.67308	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4866	3.73267	5.22349	0.615034	0.345712	lidar	0.667464	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6973	3.86689	5.19891	0.625653	0.338582	radar	0.985016	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9191	4.01089	5.20574	0.636219	0.331168	lidar	0.193159	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1141	4.17029	5.12293	0.661411	0.346652	radar	1.74929	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3115	4.36601	5.15538	0.693587	0.36366	lidar	0.421064	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5218	4.53046	5.18197	0.707097	0.357129	radar	0.629689	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6992	4.69768	5.15837	0.727769	0.360481	lidar	0.507799	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8527	4.88072	5.00356	0.767905	0.397607	radar	4.20042	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
